ein,name,IRS_sub_name,address,city,state,zipcode,subsection_code,ntee_code,site_url,mission,like_understood
824751909,1 PLASTIC LIFE,1 PLASTIC LIFE,4300 STILLWELL AVE,LOS ANGELES,CA,90032-1234,501(c)(3),C27,https://www.1plasticlife.org/,"1 PLASTIC LIFE is a non profit organization focused on reducing plastic pollution in low income communities, by providing job training opportunities to homeless and unemployed people.",6
454567251,1 POWER HOUSE INC,1 POWER HOUSE INC,250 MISTYBROOK CIR,STONE MTN,GA,30087-6336,501(c)(3),A31,http://1powerhouse.org/,,0
274700530,1 PURPOSE INC,1 PURPOSE INC,160 REVOLUTIONARY DR,HAMPTON,GA,30228-5920,501(c)(3),L40,http://www.1-purpose.org/,,0
833163242,1 PUTNAM INC,1 PUTNAM INC,906 S STATE ROAD 19,PALATKA,FL,32177-9394,501(c)(3),S20,,,0
812319170,1 PVD CYCLING,1 PVD CYCLING,13 11TH ST,PROVIDENCE,RI,02906-2909,501(c)(3),N60,http://www.1pvdcycling.org/,,0
812990472,1 REDD BAG LTD,1 REDD BAG LTD,19510 BOWMAN RIDGE DR,GERMANTOWN,MD,20874-6248,501(c)(3),K30,http://www.1reddbag.org/,,0
820952371,1 REVELATION INC,1 REVELATION INC,PO BOX 71,RICHMOND,IN,47375-0071,501(c)(3),,,,0
824343519,1 ROUTE 4 CHANGE INC,1 ROUTE 4 CHANGE INC,1126 OTTO GRAHAM LN,ZION,IL,60099-4614,501(c)(3),O50,,,0
815330123,1 SALON LIFE DEVELOPMENT ACADEMY INC,1 SALON LIFE DEVELOPMENT ACADEMY INC ,2800 W OAKLAND PARK BLVD STE 309,OAKLAND PARK,FL,33311-1309,501(c)(3),O50,,,0
471398771,1 SAN DIEGO,1 SAN DIEGO,PO BOX 12054,SAN DIEGO,CA,92112-3054,501(c)(3),W99,http://1sandiego.org/,"ONE SAN DIEGO IS A 501(C)3 NON-PROFIT DEDICATED TO PROMOTING EQUAL ACCESS TO ECONOMIC PROSPERITY, SAFE AND VIBRANT COMMUNITIES, AND AN ENHANCED QUALITY OF LIFE TO ENSURE EVERY SAN DIEGAN HAS THE OPPORTUNITY TO SUCCEED. ONE SAN DIEGO SUPPORTS THE INTERESTS OF NEIGHBORHOODS CITYWIDE AND SEEKS TO ENRICH THE LIVES OF ALL SAN DIEGANS THROUGH EFFORTS TO EXPAND OPPORTUNITIES FOR LOCAL YOUTH, INCLUSIVE COMMUNITY ENGAGEMENT, EMPOWERING LOCAL SMALL BUSINESS AND ENTREPRENEURS TO GROW SAN DIEGOS ECONOMY, AND BUILDING AN EDUCATED AND SKILLED 21ST CENTURY WORKFORCE. THROUGH ITS WORK, ONE SAN DIEGO SEEKS TO SUPPORT THE ORGANIZATION OF THE MAYORS OFFICE AND CITY, ENGAGE NEIGHBORHOODS THROUGH COLLABORATION AND COMMUNITY INVOLVEMENT, AND BETTER CONNECT SAN DIEGANS WITH LOCAL LEADERS TO BUILD MORE RESILIENT COMMUNITIES.",10
261211059,1 SG MICHAEL S CURRY MEMORIAL FOUNDATION INC,1 SG MICHAEL S CURRY MEMORIAL FOUNDATION INC,800 2ND AVE RM 301,NEW YORK,NY,10017-9240,501(c)(3),B82,http://www.smilesarecontagious.org/,Creating unforgettable opportunities to enrich the lives of our children.,1
821209658,1 SHINE YOUTH,1 SHINE YOUTH,161 W VICTORIA ST STE 240,LONG BEACH,CA,90805-2183,501(c)(3),O50,http://www.1shineyouth.com/,,0
813585472,1 SOLDIER 1 DOG 1 TEAM INC,1 SOLDIER 1 DOG 1 TEAM INC,39 MOUNT VERNON RD,MANALAPAN,NJ,07726-8070,501(c)(3),D20,,,0
562342625,1 SOSFS DEFENDERS ASSOCIATION,1 SOSFS DEFENDERS ASSOCIATION,521 CODY AVE,HURLBURT FLD,FL,32544-5713,501(c)(3),,,PROVIDE MORALE & SUPPORT MEMBERS,2
845136520,1 SOUND MINISTRIES INTERNATIONAL,1 SOUND MINISTRIES INTERNATIONAL,181 W BOYLSTON ST,WEST BOYLSTON,MA,01583-1713,501(c)(3),X21,,,0
824468207,1 STARFISH,1 STARFISH,PO BOX 9441,MOSCOW,ID,83843-0118,501(c)(3),Q33,https://www.1starfish.org/,"1Starfish is a 501c non-profit that provides veterinary and animal husbandry assistance to the community of Derriere Marc (Denye Mak) and surrounding areas of La Gonave, Haiti. We do this by visiting the island yearly with wound care supplies, medications and vaccines. We work with the local veterinary agents and farmers providing health clinics and education. We also work with local educators providing school supplies, money and construction help.
",13
473814342,1 STATUS INC,1 STATUS INC,2462 FEATHERTREE LN,LAWRENCEVILLE,GA,30044-5059,501(c)(3),B90,,,0
582681652,1 STEP 2 FITNESS,1 STEP 2 FITNESS,1921 NOVA SCOTIA CIR,BESSEMER,AL,35022-3896,501(c)(3),F20,,,0
474956065,1 STEP 2 HEALTH FOUNDATION,1 STEP 2 HEALTH FOUNDATION,6918 BEULAH OAKS LN,N CHESTERFLD,VA,23234-6277,501(c)(3),P40,http://1step2healthfoundation.org/,"Mission: Our Mission is dedicated to improving the life expectancy of Richmond, and Petersburg, Virginia from the ravages of preventable chronic diseases and food insecurity, through our hunger relief efforts, free health screenings, fitness, and community partnerships.

Our Vision: Healthier Lives, Healthier Families, Healthier Communities, and a Healthier World.",7
273949762,1 STEP 2 HOPE,1 STEP 2 HOPE,3600 ESTACADO LN,PLANO,TX,75025-4474,501(c)(3),P60,,,0
833144740,1 STEP AT A TIME SAAT SUPPORT SERVICES,1 STEP AT A TIME SAAT SUPPORT SERVICES,92 CLEMENS DR,DILLSBURG,PA,17019-1366,501(c)(3),P20,,,0
464742002,1 STEP AWAY FOUNDATION,1 STEP AWAY FOUNDATION,4711 E FALCON FIELD DR STE 252,MESA,AZ,85015-0000,501(c)(3),N20,http://1stepawayfoundation.org/,"Provide youth access to mentors and activities that expose them to the possibilities for their future, including access to higher education, trade schools or entrepreneurial opportunities.  Youth will be equipped with life skills through various after-school activities, field trips and fundraising efforts that focus on Leadership Development and Community Service.",6
825319562,1 STEP FURTHER COMMUNITY CENTER INC,1 STEP FURTHER COMMUNITY CENTER INC,225 MATLAGE WAY UNIT 3156,SUGAR LAND,TX,77487-1078,501(c)(3),P99,https://1stepfurthercommunitycenterinc.yolasite.com/,"We stand strongly dedicated throughout our mission towards the prevention of hunger, bullying, domestic violence, child abuse, senior citizen neglect, and homelessness.",4
473848701,1 STEP UP INC,1 STEP UP INC,5522 BENNINGTON DR,JACKSONVILLE,FL,32244-2143,501(c)(3),I40,,,0
270638043,1 STOP RECOVERY INC,1 STOP RECOVERY INC,4141 NORTH FWY STE 310,HOUSTON,TX,77022-4218,501(c)(3),E99,,SUBSTANCE ABUSE TREATMENT,0
320332053,1 STROKE YOUTH DEVELOPMENT & GANG PREVENTION PROGRAM,1 STROKE YOUTH DEVELOPMENT & GANG PREVENTION PROGRAM,1000 BAY DR APT 608,MIAMI BEACH,FL,33141-3772,501(c)(3),O50,http://www.1stroke.org/,"Through the game of golf, 1STROKE strives to assist young males and females in meeting short and long term goals in route to becoming a more positive part of their community.",4
814778993,1 SUSTAINABLE PLANET,1 SUSTAINABLE PLANET,1716 11TH AVE SE,OLYMPIA,WA,98501-2503,501(c)(3),C01,http://www.1sustainableplanet.org/,,0
814647325,1 TACKLE 4 CHANGE INC,1 TACKLE 4 CHANGE INC,61 CAROLINA CT,CRAWFORDVILLE,FL,32327-4049,501(c)(3),S81,,,0
852436339,1 TAIL AT A TIME,1 TAIL AT A TIME,274 RIATA RD,TULAROSA,NM,88352-9672,501(c)(3),D20,,,0
843367673,1 TEAM,1 TEAM,15255 EASTVALE RD,POWAY,CA,92064-2310,501(c)(3),O50,http://pathsports.org/,,0
474642636,1 TEN BASKETBALL,1 TEN BASKETBALL,5305 LOS ALTOS RD,FORT WORTH,TX,76244-6247,501(c)(3),N60,,,0
813173199,1 THESSALONIANS 3-2 INC,1 THESSALONIANS 3-2 INC,301 ELLIS RD,LANGHORNE,PA,19047-1376,501(c)(3),X20,,TO SPREAD THE GOSPEL OF JESUS CHRIST,0
383868253,1 THING BETTER FOUNDATION,1 THING BETTER FOUNDATION,2345 DEAN WAY,SOUTHLAKE,TX,76092-1380,501(c)(3),T20,https://www.onethingbetter.org/,,0
815023807,1 TOGETHER NFP,1 TOGETHER NFP,404 W OLIVE ST,ARLINGTON HTS,IL,60004-4658,501(c)(3),Q33,,"Organization's Primary Exempt Purpose - To equip churches and individuals in healthy partnerships with the global church, resulting in shared transformation, respect, and progress.",3
471413829,1 TOUCH MINISTRIES,1 TOUCH MINISTRIES,205 BELL RINGER CT,NEWARK,DE,19702-5944,501(c)(3),P20,http://www.1touchministriesgroup.org/,"Mission - ""Servant Leadership"":  To impact and set the precedence of Servant Leadership in our Schools, Communities, Lives, Hearts, Minds & Spirit by fostering relationships of Sustenance and Leading and Infecting Society thru Exemplifying Selfless Living. 1 Touch Ministries, Inc. aims to accomplish providing an optimal carousel of services that is an unrestricted, unorthodox way of serving people who are trying to ascertain a level of freedom but who may also struggle from time-to-time. We strive to become a stand out, stand alone Community Services agency catered to meet the culturally diverse and unique needs of every person we serve thru sensitivity to their needs while staying abreast of all the changes in the helping fields.",7
465510386,1 TRIBE,1 TRIBE,2047 EMORY ST,SAN JOSE,CA,95128-1418,501(c)(3),Y99,http://www.1tribe.org/,Creating a online community to connect those who need help with those who can help them directly,2
473430478,1 U PROJECT,1 U PROJECT,6325 S STONE HEDGE CT,OZARK,MO,65721-6677,501(c)(3),X20,http://www.1uproject.org/,"To provide practical, monetary, and spiritual resources to existing ministries and individual that serve impoverished orphans and families in Ukraine.",5
264573122,1 UPHANDLES INC,1 UPHANDLES INC,1409 PILLOCK PL,SILVER SPRING,MD,20905-6053,501(c)(3),B90,,Inner City Sports,0
475681682,1 VETERAN FOUNDATION,1 VETERAN FOUNDATION,PO BOX 176,CORTARO,AZ,85652-0176,501(c)(3),W30,,Providing PTSD Dogs to Veterans with PTSD,1
815223693,1 VILLAGE INC,1 VILLAGE INC,4426 HUGH HOWELL RD,TUCKER,GA,30084-4918,501(c)(3),P20,http://1villageinc.org/,,0
464932141,1 VOICE,1 VOICE,146 KELLY CV,BRIGHTON,TN,38011-7032,501(c)(3),T30,http://www.1-voiceintl.com/,,0
465516669,1 VOICE,1 VOICE,225 CONWELL ST,AURORA,IN,47001-1199,501(c)(3),W01,,,0
383850792,1 VOICE CAN HELP,1 VOICE CAN HELP,3290 PALM AIRE DR,ROCHESTER HLS,MI,48309-1047,501(c)(3),A80,,,0
454096001,1 VOICE INC,1 VOICE INC,200 BROOKVIEW LN,IRMO,SC,29063-8256,501(c)(6),S41,,,0
611399000,1 VOICE MINISTRY INC,1 VOICE MINISTRY INC,614 OLD SMOKEY RD,BRODHEAD,KY,40409-9042,501(c)(3),,,,0
851853336,1 VOTE COUNTS,1 VOTE COUNTS,213 STATE STREET STE 403,HARRISBURG,PA,17101-1134,501(c)(3),B01,,,0
830819998,1 WAY TRUTH INC,1 WAY TRUTH INC,9167 COLMART ST,SPRING HILL,FL,34608-4732,501(c)(3),S20,,,0
521308898,1 WEST PRATT STREET INC,1 WEST PRATT STREET INC,1 W PRATT ST,BALTIMORE,MD,21201-2433,501(c)(6),,,Provide payroll services and handle related Federal and State taxes for Baltimore Local No.19 IATSE,1
471201800,1 WILL INSPIRE LONG LIFE INC,1 WILL INSPIRE LONG LIFE INC,322 E HAZEL ST,INGLEWOOD,CA,90302-3110,501(c)(3),P50,,,0
273842735,1 WISER CONSUMER EDUCATION INC,1 WISER CONSUMER EDUCATION INC,503 HILLCREST LN,KRUM,TX,76249-5171,501(c)(3),P51,http://www.1dollarwiser.com/,Empowering individuals to take positive control of their personal finances and learn fiscal responsibility through consumer and credit education and counseling.,3
473191316,1 WORKER 1 VOTE INC,1 WORKER 1 VOTE INC,107 S WEST ST PMB 122,ALEXANDRIA,VA,22314-2824,501(c)(3),J99,,,0
813891758,1 WORLD EXPO INC,1 WORLD EXPO INC,13447 166TH PL APT 10C,JAMAICA,NY,11434-3841,501(c)(3),Q21,,,0
161574588,1 WORLD FOUNDATION INC,1 WORLD FOUNDATION INC,KINGSTON ONTARIO K7M 8A6,CANADA,,00000-0000,501(c)(3),T12,,TO IMPROVE SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES ACROSS BORDERS.,2
261368079,1 YOUTH AT A TIME INC,1 YOUTH AT A TIME INC,C/O EMILY JAMES 9530 AVENUE L,BROOKLYN,NY,11236-0000,501(c)(3),O50,,,0
825352913,1-1 FOUNDATION,1-1 FOUNDATION,1012 OLD WARE RD,WETUMPKA,AL,36093-3752,501(c)(3),F99,,"“1:1 Foundation is dedicated to training First Responders in the identification of the stress inherent to their job and helping them learn how to manage that stress before it manages them. Faced with the fact that one of the top killers for active law enforcement officers is suicide, and a similar trend is appearing among firefighters, and EMS. The 1:1 Foundation actively partners with local and international service organizations to provide this critical stress management program at no cost to these agencies. We also train chaplains on how to minister to the first responders they support. 1:1 Foundation also conducts outreach to foster cooperative working relationships within our community and the throughout world.

"" Take a Stand & Make a Choice""",10
475316938,1-121ST FIELD ARTILLERY VETERANS ASSOCIATION INC,1-121ST FIELD ARTILLERY VETERANS ASSOCIATION INC ,W55N861 CEDAR RIDGE DR,CEDARBURG,WI,53012-1555,501(c)(3),W30,,,0
812491139,1-159 FOUNDATION,1-159 FOUNDATION,140 S LAKE AVE STE 348,PASADENA,CA,91101-4771,501(c)(3),P31,,,0
820736266,1-16 RYDERS MINISTRIES,1-16 RYDERS MINISTRIES,3321 23RD ST NE,HICKORY,NC,28601-9256,501(c)(3),X20,,,0
831704364,1-160TH FIELD ARTILLERY OFFICER AND ENLISTED ASSOCIATION,1-160TH FIELD ARTILLERY OFFICER AND ENLISTED ASSOCIATION,800 THUNDERBIRD RD,CHANDLER,OK,74834-1015,501(c)(3),W30,,,0
833765466,1-17 INFANTRY MEMORIAL FUND INC,1-17 INFANTRY MEMORIAL FUND INC,530 MOUNTAIN WAY NE,ATLANTA,GA,30342-3804,501(c)(3),B82,,,0
845055894,1-2 MANY MINISTRIES,1-2 MANY MINISTRIES,PO BOX 14742,LENEXA,KS,66285-4742,501(c)(3),P62,,,0
833469216,1-2-1 IMPACT,1-2-1 IMPACT,1171 N 17TH AVE,BLAIR,NE,68008-1236,501(c)(3),X99,,,0
473971814,1-2-1 MENTORING,1-2-1 MENTORING,7 CORPORATE CENTER CT STE B,GREENSBORO,NC,27408-3839,501(c)(3),P20,http://www.121mentoring.org/,"CONNECTING QUALIFIED SERVICE PROVIDERS WITH CONSUMERS, NAMELY, FEE-BASED SERVICES OF PAIRING CHILDREN OF PRIMARY AND SECONDARY EDUCATION AGES WITH PAID ADULT MENTORS.",2
431737843,1-2-1 MINISTRIES,1-2-1 MINISTRIES,1723 S WEST BYP STE A,SPRINGFIELD,MO,65807-2128,501(c)(3),O55,,PROMOTE JESUS CHRIST,0
262082215,1-2-3 INTERNATIONAL LTD,1-2-3 INTERNATIONAL LTD,13916 E 33RD ST,TULSA,OK,74134-4234,501(c)(3),P80,,,0
471617537,1-2-3 RUNNERS INC,1-2-3 RUNNERS INC,117 HERALD CT UNIT 118,PUNTA GORDA,FL,33950-4462,501(c)(3),N12,,,0
464083653,1-2-3-BREATHE,1-2-3-BREATHE,PO BOX 690601,HOUSTON,TX,77269-0601,501(c)(3),E70,,,0
330427401,1-26 ASSOCIATION,1-26 ASSOCIATION,848 N RAINBOW BLVD STE 2313,LAS VEGAS,NV,89107-1103,501(c)(7),,http://1-26association.org/,,0
465733975,1-26 ASSOCIATION INC,1-26 ASSOCIATION INC,954 CIMARRON TER,ESCONDIDO,CA,92029-5724,501(c)(7),N50,,,0
811113359,1-26 FOUNDATION INC,1-26 FOUNDATION INC,954 CIMARRON TER,ESCONDIDO,CA,92029-5724,501(c)(3),N20,,,0
842462352,1-3-4 MINISTRIES,1-3-4 MINISTRIES ,8133 OUTER LINCOLN AVE,NEWBURGH,IN,47630-2750,501(c)(3),X20,,,0
911488623,1-7-2 PARENT TEACHER STUDENT ASSOCIATION,1-7-2 PARENT TEACHER STUDENT ASSOCIATION ,25142 WAGHORN RD NW,POULSBO,WA,98370,501(c)(3),B94,,,0
208285327,1-77 HHC SCOUT PLATOON VETERANS ASSOC INC,1-77 HHC SCOUT PLATOON VETERANS ASSOC INC,PO BOX 1187,WELCOME,NC,27374-1187,501(c)(3),P60,,,0
10675449,1-800 AMERICAN FREE TRADE ASSOCIATION INC,1-800 AMERICAN FREE TRADE ASSOCIATION INC,PO BOX 2203,S BURLINGTON,VT,05407-2203,501(c)(6),S41,,Trade assoc for orgs with 1-800 numbers,0
471745517,1-AAA WIN WIN OPPORTUNITIES,1-AAA WIN WIN OPPORTUNITIES,36224 PECAN CT,FREMONT,CA,94536-2658,501(c)(3),F20,,,0
330244711,1-DAY PAINT & BODY CENTERS VACATION PAY PLAN,1-DAY PAINT & BODY CENTERS VACATION PAY PLAN,11766 WILSHIRE BLVD,LOS ANGELES,CA,90025,501(c)(9),Y99,,"The plan was formed for the purpose of providing vacation pay benefits to all eligible employees of the 1- day paint & body Centers, Inc",2
462097242,1-HEART,1-HEART,2409 CHERRY ST,TOLEDO,OH,43608-2625,501(c)(3),G43,,"TO INSPIRE HOPE, ALLEVIATE HUMAN SUFFERING, AND PROVIDE THE BEST CARE TO EVERY HEART PATIENT, USING THE POWER OF VOLUNTEERS AND THE GENEROSITY OF DONORS. NO HEART PATIENT IS DENIED TREATMENT BASED ON RACE, RELIGION OR A FAMILY'S ABILITY TO PAY.",6
341991160,1-MORE COMMUNITY DEVELOPMENT CORPORATION,1-MORE COMMUNITY DEVELOPMENT CORPORATION,2177 TWISTED OAK LN,ALPINE,CA,91901-3080,501(c)(3),S20,,,0
273189243,1-ON-1 ART INC,1-ON-1 ART INC,15 N CHENEVERT SUITE 100,HOUSTON,TX,77002-1301,501(c)(3),A25,,,0
371843711,1-TO-3,1-TO-3,218 FAIRVIEW AVE,S PASADENA,CA,91030-1713,501(c)(3),T12,,,0
200332081,10 10 10,10 10 10,4625 W 50TH AVE APT 306,DENVER,CO,80212-2942,501(c)(3),C60,http://www.101010.net/,10.10.10'S MISSION IS TO TACKLE THE WORLD'S WICKED PROBLEMS THROUGH PUBLIC,0
474518749,10 10 LIFE INC,10 10 LIFE INC,402 DUECE CT,HARKER HTS,TX,76548-6024,501(c)(3),P20,,,0
262922391,10 12 CHURCH,10 12 CHURCH,PO BOX 1512,WILLIS,TX,77378-1512,501(c)(3),X21,,,0
814975769,10 19 FOUNDATION INC,10 19 FOUNDATION INC,60 MCKENNA RIDGE RD,EAST FALMOUTH,MA,02536-4448,501(c)(3),O50,,TO PROVIDE SCHOLARSHIPS AND FINANCIAL AID TO YOUTH ATHELETES IN MEMORY OF TWO FALMOUTH HIGH SCHOOL ATHLETES.,5
455250843,10 33 FOUNDATION INC,10 33 FOUNDATION INC,2010 HARBISON DR STE A,VACAVILLE,CA,95687-3925,501(c)(3),,http://www.1033foundation.org/,"The mission of the ﻿﻿10-33 Foundation is to provide stress management & mitigation education & training, consultation services, emotional and spiritual support services, and follow up care to the first responder professions, military members and their families.",6
263797359,10 40 HOPE MISSIONS INC,10 40 HOPE MISSIONS INC,715 S OLD BELAIR RD,GROVETOWN,GA,30813-5306,501(c)(3),X20,http://www.1040hope.org/,"We are assisting local churches to reach the Unreached people groups Located in the 10/40 Window with the Gospel by:
Connecting them to indigenous churches/ministries 
Helping them support indigenous leaders and churches
Together, sending indigenous leaders to start new churches/ministries",5
851007607,10 8 INSERVICE INC,10 8 INSERVICE INC,PO BOX 4016,ASHBURN,VA,20148-0001,501(c)(3),O50,,,0
330728548,10 ACRE RANCH INC,10 ACRE RANCH INC,5953 GRAND AVE,RIVERSIDE,CA,92504-1369,501(c)(3),F20,,The purpose of 10 Acre Ranch is to provide treatment and rehabilitation of drug and alcohol use. The program is available for live-in clients as well as drop-in counseling. 10 Acre Ranch provides activities in a drug and alcohol free environment and uses animals as part of the treatment program.,3
821065977,10 AND 90 FOUNDATION,10 AND 90 FOUNDATION,20518 6TH AVENUE CT E,SPANAWAY,WA,98387-6206,501(c)(3),O50,http://www.10and90.foundation/,The 10 and 90 Foundation aims to support and benefit youth in the community by providing opportunities for growth and enrichment through athletic and academic programming.,4
811133488,10 BLESSINGS INSPIRATION,10 BLESSINGS INSPIRATION,10809 TIPPETT RD,CLINTON,MD,20735-9638,501(c)(3),E99,http://www.10blessings.org/,,0
352348013,10 BOOKS A HOME,10 BOOKS A HOME,1735 WOODLAND AVE APT 11,E PALO ALTO,CA,94303-2320,501(c)(3),B90,http://www.10booksahome.org/,"10 Books A Home (10BH) is a nonprofit organization that offers a new early education solution to families in High Poverty Communities who are dissatisfied with the high rate of student failure in their community and who want to prevent their children from suffering the same fate According to student report cards we collect, 100% of children to go through our free preschooler home tutoring program in the past two years have outperformed their student peers",8
472135088,10 CAN,10 CAN ,PO BOX 1122,NEWBERRY,FL,32669-1122,501(c)(3),F60,http://www.10canoutdoors.com/,"Honor, revive, and grow Military and First Responder families through outdoor recreation, education, and rehabilitation.",3
824993802,10 CHEFS INC,10 CHEFS INC,PO BOX 110984,ANCHORAGE,AK,99511-0984,501(c)(3),T12,https://www.10chefsforcauses.org/,"To benefit the community of Anchorage, Alaska by raising funds for ten different 501(c)(3) charitable non-profit organization through the use of hospitality.",5
842933724,10 ELM FOUNDATION,10 ELM FOUNDATION,4 MIDDLETON RD,BOXFORD,MA,01921-2324,501(c)(3),P20,http://www.10elmfoundation.org/,"The 10 Elm Foundation supports the effort by the Boxford Council on Aging to create a combined Community/Senior Center in Boxford.  The current Center is not accessible and unable to accommodate the growing needs of its seniors. 10 Elm Foundation has committed to raising funds for the new building, as well as expanded programs for seniors and youth.
To seniors and their families who find themselves in crisis, the Council is a lifeline.  Providing seniors with enriching activities provides many mental health benefits, including lifting a person’s mood and increasing a sense of self-reliance and purpose.  A new senior center will ensure no Senior ever feels alone, overlooked or forgotten.",10
223535241,10 FENWICK CORP,10 FENWICK CORP,27 PRINCE STREET,ELIZABETH,NJ,07208-3265,501(c)(3),L41,,INACTIVE FOR 2017,0
824010646,10 FOR 7 POSITIVE PEER GROUPS,10 FOR 7 POSITIVE PEER GROUPS ,2760 N HARTUNG AVE,MILWAUKEE,WI,53210-1339,501(c)(3),B20,,,0
475005707,10 FREEDOM PLACE HOUSING DEVELOPMENT FUND CORPORATION,10 FREEDOM PLACE HOUSING DEVELOPMENT FUND CORPORATION,505 EIGHTH AVENUE 5TH FLOOR,NEW YORK,NY,10018-6550,501(c)(3),L20,,10 FREEDOM PLACE HOUSING DEVELOPMENT FUND CORPORATION'S PRIMARY EXEMPT PURPOSE IS TO ACQUIRE AND/OR DEVELOP PROPERTY FOR THE BENEFIT OF BREAKING GROUND HOUSING DEVELOPMENT FUND AND ITS AFFILIATED TAX-EXEMPT ORGANIZATIONS.,1
454274038,10 HAIRY LEGS,10 HAIRY LEGS,PO BOX 153,S PLAINFIELD,NJ,07080-0153,501(c)(3),A62,http://www.10hl.org/,"10HL, a male repertory company, provides a lens to experience the broad spectrum of dance. ",3
271339391,10 SOCCER CLUB INC,10 SOCCER CLUB INC,6549 E CAMINO VISTA,ANAHEIM,CA,92807,501(c)(3),N64,http://www.10socceracademy.com/,,0
810961067,10 STRONG OKC,10 STRONG OKC,16113 POINTE OAK CIR,EDMOND,OK,73013-3245,501(c)(3),E60,,,0
813776547,10 TALENT MINISTRIES INC,10 TALENT MINISTRIES INC,4314 PABLO OAKS CT,JACKSONVILLE,FL,32224-9631,501(c)(4),R20,,,0
813144647,10 TALENTS,10 TALENTS,20524 118TH AVE SE,SNOHOMISH,WA,98296-6983,501(c)(3),A31,,"10 Talents is a Christian charity to provide evangelism and discipleship resources for the use nationally and internationally, provide humanitarian aid to those in need, provide programs and resources which aid in education of children, youth and adults, provide consultation and professional services for churches and nonprofits at reduced or no cost.",6
815366187,10 TALENTS INTERNATIONAL,10 TALENTS INTERNATIONAL,900 SE 5TH ST STE 22,BENTONVILLE,AR,72712-6090,501(c)(3),X20,,"The purpose for which this corporation is organized: 1. The primary purpose of the Corporation shall be: Said corporation is organized exclusively but not limited to charitable, religious, educational, and scientific purposes.2. To conduct any business enterprise not contrary to law.3. To exercise all the powers enumerated in Section 4-27-302 of the Arkansas BusinessCorporation Act.",2
272505761,10 THOUSAND WINDOWS INC,10 THOUSAND WINDOWS INC,348 N CANYONS PKWY,LIVERMORE,CA,94551-9185,501(c)(3),Q32,http://www.10thousandwindows.org/,"10ThousandWindows is a civil-society organization seeking a world in which survivors of violence and exploitation live safe, free and hopeful lives. We provide economic empowerment services to help survivors thrive in dignifying, safe work, and to achieve their own life goals.",7
822830824,10 UP,10 UP,2 WINDING WOODS WAY,FREEHOLD,NJ,07728-9282,501(c)(3),P20,,,0
133732472,10 W 33 ST HOLDING CORP,10 W 33 ST HOLDING CORP,WSB 1411 BROADWAY 9TH FLOOR,NEW YORK,NY,10018-0000,501(c)(2),,,"THE CORP. WAS ORGANIZED FOR THE EXCLUSIVE PUPROSE OF HOLDING TITLE TO PROPERTY, COLLECTING INCOME THEREFROM, AND TURNING OVER THE ENTIRE AMOUNT LESS EXPENSES TO THE BEATRICE & SAMUEL SEAVER FDN,, AN EXEMPT ORGANIZATION UNDER IRC SEC 501 (C) (3)",2
263720836,10 WILMINGTON PLACE RESIDENCE COUNCIL,10 WILMINGTON PLACE RESIDENCE COUNCIL,10 WILMINGTON AVE APT 139W,DAYTON,OH,45420-1880,501(c)(4),P20,,,0
262878472,10 WOMEN OF HOPE INC,10 WOMEN OF HOPE INC,PO BOX 235,MARIETTA,GA,30061-0235,501(c)(3),P20,http://10womenofhope.org/,THE ORGANIZATION'S MISSION IS TO GIVE SINGLE MOTHERS HELP DURING A FINANCIAL EMERGENCY AND TO ASSIST WITH EDUCATIONAL NEEDS.,3
261285780,10 X SHOOTING SPORTS,10 X SHOOTING SPORTS,709 S URSILA ST,MONAHANS,TX,79756-7308,501(c)(3),N99,,,0
472053963,10-07 CHARITABLE FUND,10-07 CHARITABLE FUND,569 OGDEN CYN,OGDEN,UT,84401-0955,501(c)(3),P20,http://1007fund.org/,,0
593789335,10-1 FOUNDATION INC,10-1 FOUNDATION INC,PO BOX 2533,THOMASVILLE,GA,31799-2533,501(c)(3),A12,,,0
813185191,10-10 ACADEMY,10-10 ACADEMY,8432 ROXY CIR,RIVERSIDE,CA,92508-3535,501(c)(3),O50,,Educational Classes & activities,0
953131248,10-10 CLUB,10-10 CLUB,14039 FRANCISQUITO AVE,BALDWIN PARK,CA,91706-5907,501(c)(4),,,,0
263655465,10-10 MINISTRIES INC,10-10 MINISTRIES INC,2439 BLUERIDGE CIR,PRESCOTT,AZ,86301-4412,501(c)(3),,,"To operate exclusively for charitable, religious and educational purposes, including but not limited to providing services to groups and individuals through biblically-based workshops, retreats,counseling, life coaching, consulting and other services through churches, religious organizations, and service agencies.",4
455516907,10-10-10 FOUNDATION INC,10-10-10 FOUNDATION INC,6607 MCCALLUM ST,PHILADELPHIA,PA,19119-3122,501(c)(3),B11,,,0
592166820,10-13 CLUB OF BREVARD COUNTY INC,10-13 CLUB OF BREVARD COUNTY INC,PO BOX 410157,MELBOURNE,FL,32941-0157,501(c)(7),N50,http://www.bc1013club.org/,,0
592826181,10-13 CLUB OF NORTHEAST FLORIDA INC,10-13 CLUB OF NORTHEAST FLORIDA INC,1115 HERON POINT WAY,DELAND,FL,32724-7339,501(c)(7),N50,,,0
834255643,10-16 COMPLETELY LOVED,10-16 COMPLETELY LOVED,4083 WEST AVE L NUM 125,LANCASTER,CA,93536-0000,501(c)(3),P99,,,0
